Gene.Name	Approved.Name	Hugo.Gene.Family	HPRD.Function	nodeType	Domains	Compartment	Compartment.Overview
UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	Catalytic activity (GO:0003824)	undefined	TM	mitochondria	mitochondria.metabolism
UQCRH	ubiquinol-cytochrome c reductase hinge protein	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	Catalytic activity (GO:0003824)	undefined	undefined	mitochondria	mitochondria.metabolism
UQCRHL	ubiquinol-cytochrome c reductase hinge protein like	undefined	undefined	undefined	undefined	undefined	undefined
UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII	Mitochondrial complex III: ubiquinol-cytochrome c reductase complex subunits	Molecular function unknown (GO:0005554)	undefined	undefined	mitochondria	mitochondria.metabolism
URAD	ureidoimidazoline (2-oxo-4-hydroxy-4-carboxy-5-) decarboxylase	undefined	undefined	undefined	undefined	undefined	undefined
URB1	URB1 ribosome biogenesis 1 homolog (S. cerevisiae)	undefined	Protein binding (GO:0005515)	undefined	undefined	nucleus; nucleolus	nucleus
URB2	URB2 ribosome biogenesis 2 homolog (S. cerevisiae)	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
URGCP	upregulator of cell proliferation	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
URI1	URI1 prefoldin-like chaperone	Protein phosphatase 1 regulatory subunits|Prefoldin subunits	undefined	transcription regulator	undefined	DNA-associated; RNA-associated; nucleus	RNA.associated
URM1	ubiquitin related modifier 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	cytosol	plasma.membrane
UROC1	urocanate hydratase 1	undefined	Lyase activity (GO:0016829)	undefined	undefined	cytosol	undefined
UROD	uroporphyrinogen decarboxylase	undefined	Carboxy-lyase activity (GO:0016831)	undefined	undefined	nucleus	nucleus
UROS	uroporphyrinogen III synthase	undefined	Lyase activity (GO:0016829)	undefined	undefined	cytosol	undefined
USB1	U6 snRNA biogenesis 1	undefined	undefined	undefined	undefined	nucleus	nucleus
USE1	unconventional SNARE in the ER 1 homolog (S. cerevisiae)	undefined	Molecular function unknown (GO:0005554)	undefined	TM	endoplasmic reticulum	ER.Golgi
USF1	upstream transcription factor 1	Basic helix-loop-helix proteins	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus	nucleus
USF2	upstream transcription factor 2, c-fos interacting	Basic helix-loop-helix proteins	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus	nucleus
USF3	upstream transcription factor family member 3	undefined	undefined	undefined	undefined	undefined	undefined
USH1C	Usher syndrome 1C	undefined	Protein binding (GO:0005515)	undefined	PDZ	cytosol; cytoskeleton	cytoskeleton
USH1G	Usher syndrome 1G (autosomal recessive)	Ankyrin repeat domain containing|Sterile alpha motif (SAM) domain containing	Molecular function unknown (GO:0005554)	undefined	ANK, SAM	undefined	undefined
USH2A	Usher syndrome 2A (autosomal recessive, mild)	Fibronectin type III domain containing	Structural molecule activity (GO:0005198)	undefined	EGFLAM, FN3, LAMG, TSPN, LAMNT, TM	undefined	plasma.membrane
USHBP1	Usher syndrome 1C binding protein 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
USMG5	up-regulated during skeletal muscle growth 5 homolog (mouse)	undefined	Molecular function unknown (GO:0005554)	undefined	TM	mitochondria	plasma.membrane
USO1	USO1 vesicle transport factor	undefined	Transporter activity (GO:0005215)	undefined	undefined	nucleus; nucleolus; cytosol; Golgi	ER.Golgi
USP1	ubiquitin specific peptidase 1	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus	nucleus
USP10	ubiquitin specific peptidase 10	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus; cytosol; endosome	endolysosome.system
USP11	ubiquitin specific peptidase 11	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, DUSP	nucleus	nucleus
USP12	ubiquitin specific peptidase 12	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP13	ubiquitin specific peptidase 13 (isopeptidase T-3)	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	ZnF_UBP, UBA	undefined	undefined
USP14	ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UBQ	undefined	plasma.membrane
USP15	ubiquitin specific peptidase 15	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	DUSP, UCH	nucleus	nucleus
USP16	ubiquitin specific peptidase 16	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus	nucleus
USP17L1	ubiquitin specific peptidase 17-like family member 1	undefined	undefined	undefined	undefined	undefined	undefined
USP17L10	ubiquitin specific peptidase 17-like family member 10	undefined	undefined	undefined	undefined	undefined	undefined
USP17L11	ubiquitin specific peptidase 17-like family member 11	undefined	undefined	undefined	undefined	undefined	undefined
USP17L12	ubiquitin specific peptidase 17-like family member 12	undefined	undefined	undefined	undefined	undefined	undefined
USP17L13	ubiquitin specific peptidase 17-like family member 13	undefined	undefined	undefined	undefined	undefined	undefined
USP17L15	ubiquitin specific peptidase 17-like family member 15	undefined	undefined	undefined	undefined	undefined	undefined
USP17L17	ubiquitin specific peptidase 17-like family member 17	undefined	undefined	undefined	undefined	undefined	undefined
USP17L18	ubiquitin specific peptidase 17-like family member 18	undefined	undefined	undefined	undefined	undefined	undefined
USP17L19	ubiquitin specific peptidase 17-like family member 19	undefined	undefined	undefined	undefined	undefined	undefined
USP17L2	ubiquitin specific peptidase 17-like family member 2	Ubiquitin-specific peptidases	Hydrolase activity (GO:0016787)	undefined	UCH	nucleus; endoplasmic reticulum	ER.Golgi
USP17L20	ubiquitin specific peptidase 17-like family member 20	undefined	undefined	undefined	undefined	undefined	undefined
USP17L21	ubiquitin specific peptidase 17-like family member 21	undefined	undefined	undefined	undefined	undefined	undefined
USP17L22	ubiquitin specific peptidase 17-like family member 22	undefined	undefined	undefined	undefined	undefined	undefined
USP17L23	ubiquitin specific peptidase 17-like family member 23	undefined	undefined	undefined	undefined	undefined	undefined
USP17L24	ubiquitin specific peptidase 17-like family member 24	undefined	undefined	undefined	undefined	undefined	undefined
USP17L25	ubiquitin specific peptidase 17-like family member 25	undefined	undefined	undefined	undefined	undefined	undefined
USP17L26	ubiquitin specific peptidase 17-like family member 26	undefined	undefined	undefined	undefined	undefined	undefined
USP17L27	ubiquitin specific peptidase 17-like family member 27	undefined	undefined	undefined	undefined	undefined	undefined
USP17L28	ubiquitin specific peptidase 17-like family member 28	undefined	undefined	undefined	undefined	undefined	undefined
USP17L29	ubiquitin specific peptidase 17-like family member 29	undefined	undefined	undefined	undefined	undefined	undefined
USP17L3	ubiquitin specific peptidase 17-like family member 3	undefined	undefined	undefined	undefined	undefined	undefined
USP17L30	ubiquitin specific peptidase 17-like family member 30	undefined	undefined	undefined	undefined	undefined	undefined
USP17L4	ubiquitin specific peptidase 17-like family member 4	undefined	undefined	undefined	undefined	undefined	undefined
USP17L5	ubiquitin specific peptidase 17-like family member 5	undefined	undefined	undefined	undefined	undefined	undefined
USP17L7	ubiquitin specific peptidase 17-like family member 7	undefined	undefined	undefined	undefined	undefined	undefined
USP17L8	ubiquitin specific peptidase 17-like family member 8	undefined	undefined	undefined	undefined	undefined	undefined
USP18	ubiquitin specific peptidase 18	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	nucleus; cytosol	nucleus
USP19	ubiquitin specific peptidase 19	Ubiquitin-specific peptidases|Zinc fingers, MYND-type	Ubiquitin-specific protease activity (GO:0004843)	undefined	TM, UCH	nucleus; cytosol; endoplasmic reticulum	ER.Golgi
USP2	ubiquitin specific peptidase 2	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	undefined	undefined
USP20	ubiquitin specific peptidase 20	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	ZnF_UBP, DUSP	cytoskeleton; microtubules	cytoskeleton
USP21	ubiquitin specific peptidase 21	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus; plasma membrane	plasma.membrane
USP22	ubiquitin specific peptidase 22	Ubiquitin-specific peptidases|SAGA complex	Molecular function unknown (GO:0005554)	transcription regulator	UCH, ZnF_UBP	nucleus; histones	nucleus
USP24	ubiquitin specific peptidase 24	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP25	ubiquitin specific peptidase 25	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, UIM	undefined	undefined
USP26	ubiquitin specific peptidase 26	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus	nucleus
USP27X	ubiquitin specific peptidase 27, X-linked	Ubiquitin-specific peptidases	undefined	undefined	undefined	undefined	undefined
USP28	ubiquitin specific peptidase 28	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, UIM	nucleus; nucleolus	nucleus
USP29	ubiquitin specific peptidase 29	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	undefined	undefined
USP3	ubiquitin specific peptidase 3	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, ZnF_UBP	nucleus; chromatin	nucleus
USP30	ubiquitin specific peptidase 30	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	TM, UCH	mitochondria	mitochondria.metabolism
USP31	ubiquitin specific peptidase 31	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus	nucleus
USP32	ubiquitin specific peptidase 32	EF-hand domain containing|Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	EF, DUSP	Golgi	ER.Golgi
USP33	ubiquitin specific peptidase 33	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, ZnF_UBP, DUSP	cytoskeleton; filament; microtubules; Golgi	cytoskeleton
USP34	ubiquitin specific peptidase 34	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	cytosol	undefined
USP35	ubiquitin specific peptidase 35	Ubiquitin-specific peptidases	Cysteine-type peptidase activity (GO:0008234)	undefined	UCH	undefined	undefined
USP36	ubiquitin specific peptidase 36	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	nucleus; nucleolus	nucleus
USP37	ubiquitin specific peptidase 37	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UIM	nucleus	nucleus
USP38	ubiquitin specific peptidase 38	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP39	ubiquitin specific peptidase 39	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	ZNFC2	undefined	undefined
USP4	ubiquitin specific peptidase 4 (proto-oncogene)	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	DUSP, UCH	nucleus; plasma membrane; lysosome	endolysosome.system
USP40	ubiquitin specific peptidase 40	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	undefined	undefined
USP41	ubiquitin specific peptidase 41	Ubiquitin-specific peptidases	undefined	undefined	undefined	undefined	undefined
USP42	ubiquitin specific peptidase 42	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP43	ubiquitin specific peptidase 43	Ubiquitin-specific peptidases	Ubiquitin-like-protein-specific protease activity (GO:0019783)	undefined	UCH	nucleus	nucleus
USP44	ubiquitin specific peptidase 44	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, ZnF_UBP	nucleus; nucleolus; cytoskeleton; microtubules	cytoskeleton
USP45	ubiquitin specific peptidase 45	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH, ZnF_UBP	undefined	undefined
USP46	ubiquitin specific peptidase 46	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP47	ubiquitin specific peptidase 47	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP48	ubiquitin specific peptidase 48	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	DUSP, UCH, UBQ, TM	nucleus	nucleus
USP49	ubiquitin specific peptidase 49	Ubiquitin-specific peptidases	Cysteine-type peptidase activity (GO:0008234)	undefined	ZnF_UBP	undefined	undefined
USP5	ubiquitin specific peptidase 5 (isopeptidase T)	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	ZnF_UBP, UBA	lysosome	endolysosome.system
USP50	ubiquitin specific peptidase 50	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP51	ubiquitin specific peptidase 51	Ubiquitin-specific peptidases	Cysteine-type peptidase activity (GO:0008234)	undefined	undefined	undefined	undefined
USP53	ubiquitin specific peptidase 53	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USP54	ubiquitin specific peptidase 54	Ubiquitin-specific peptidases	Molecular function unknown (GO:0005554)	undefined	UCH	undefined	undefined
USP6	ubiquitin specific peptidase 6	Ubiquitin-specific peptidases	Peptidase activity (GO:0008233)	undefined	UCH, TBC	plasma membrane; endosome; lysosome	endolysosome.system
USP6NL	USP6 N-terminal like	undefined	GTPase activator activity (GO:0005096)	undefined	TBC	Golgi; plasma membrane	ER.Golgi
USP7	ubiquitin specific peptidase 7 (herpes virus-associated)	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	MATH	nucleus; cytosol	nucleus
USP8	ubiquitin specific peptidase 8	Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	RHOD, UCH	nucleus; cytosol; Golgi; plasma membrane; endosome	endolysosome.system
USP9X	ubiquitin specific peptidase 9, X-linked	X-linked mental retardation|Ubiquitin-specific peptidases	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	cytosol	undefined
USP9Y	ubiquitin specific peptidase 9, Y-linked	Ubiquitin-specific peptidases|Minor histocompatibility antigens	Ubiquitin-specific protease activity (GO:0004843)	undefined	UCH	undefined	undefined
USPL1	ubiquitin specific peptidase like 1	Ubiquitin specific peptidase like |Ubiquitin-specific peptidases	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus	plasma.membrane
UST	uronyl-2-sulfotransferase	Sulfotransferases, membrane-bound	Sulfotransferase activity (GO:0008146)	undefined	TM	Golgi	ER.Golgi
UTF1	undifferentiated embryonic cell transcription factor 1	undefined	Transcription factor activity (GO:0003700)	transcription factor	undefined	nucleus	nucleus
UTP11L	UTP11-like, U3 small nucleolar ribonucleoprotein (yeast)	undefined	RNA binding (GO:0003723)	RNA processing protein	undefined	nucleus; nucleolus	plasma.membrane
UTP14A	UTP14A small subunit processome component	undefined	Molecular function unknown (GO:0005554)	RNA binding protein	undefined	undefined	undefined
UTP14C	UTP14, U3 small nucleolar ribonucleoprotein, homolog C (yeast)	undefined	Ribonucleoprotein (GO:0003733)	undefined	undefined	undefined	undefined
UTP15	UTP15 SSU processome component	WD repeat domain containing	Molecular function unknown (GO:0005554)	RNA binding protein	WD40	nucleus; nucleolus	nucleus
UTP18	UTP18 small subunit processome component	WD repeat domain containing	Molecular function unknown (GO:0005554)	undefined	WD40	nucleus; nucleolus	nucleus
UTP20	UTP20 small subunit processome component	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus; ribosome	translation
UTP23	UTP23, small subunit processome component	undefined	Molecular function unknown (GO:0005554)	RNA binding protein	undefined	undefined	undefined
UTP3	UTP3, small subunit (SSU) processome component, homolog (S. cerevisiae)	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
UTP4	UTP4 small subunit processome component	WD repeat domain containing	undefined	undefined	undefined	undefined	undefined
UTP6	UTP6 small subunit processome component	undefined	Molecular function unknown (GO:0005554)	undefined	HAT	nucleus; nucleolus	nucleus
UTRN	utrophin	Zinc fingers, ZZ-type	Cytoskeletal anchoring activity (GO:0016343)	undefined	SPECTRIN, CH, WW, ZnF_ZZ	nucleus; cytoskeleton; plasma membrane	cytoskeleton
UTS2	urotensin 2	Endogenous ligands	Receptor binding (GO:0005102)	undefined	undefined	undefined	plasma.membrane
UTS2B	urotensin 2B	Endogenous ligands	undefined	undefined	undefined	undefined	undefined
UTS2D	undefined	undefined	Receptor binding (GO:0005102)	undefined	undefined	undefined	plasma.membrane
UTS2R	urotensin 2 receptor	undefined	G-protein coupled receptor activity (GO:0004930)	G protein-coupled receptor	TM	plasma membrane	plasma.membrane
UTY	ubiquitously transcribed tetratricopeptide repeat containing, Y-linked	Minor histocompatibility antigens|Tetratricopeptide repeat domain containing	Molecular function unknown (GO:0005554)	undefined	JMJC, TPR	undefined	undefined
UVRAG	UV radiation resistance associated	C2 domain containing	Molecular function unknown (GO:0005554)	undefined	C2	chromatin; cytoskeleton; microtubules; endoplasmic reticulum; endosome; lysosome	endolysosome.system
UVSSA	UV stimulated scaffold protein A	undefined	undefined	undefined	undefined	chromatin	nucleus
UXS1	UDP-glucuronate decarboxylase 1	Short chain dehydrogenase/reductase superfamily	Carboxy-lyase activity (GO:0016831)	undefined	TM	undefined	plasma.membrane
UXT	ubiquitously expressed prefoldin like chaperone	Prefoldin subunits	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	nucleus; cytoskeleton; microtubules	cytoskeleton
VAC14	Vac14 homolog (S. cerevisiae)	undefined	Molecular function unknown (GO:0005554)	undefined	HEAT	Golgi; endosome	endolysosome.system
VAMP1	vesicle associated membrane protein 1	Vesicle associated membrane proteins	Auxiliary transport protein activity (GO:0015457)	undefined	TM	cytosol; plasma membrane; secretion; mitochondria	plasma.membrane
VAMP2	vesicle associated membrane protein 2	Vesicle associated membrane proteins	Auxiliary transport protein activity (GO:0015457)	undefined	TM	cytosol; plasma membrane; secretion; endosome	endolysosome.system
VAMP3	vesicle associated membrane protein 3	Vesicle associated membrane proteins	Protein binding (GO:0005515); Transporter activity (GO:0005215)	undefined	TM	cytosol; plasma membrane; endosome	endolysosome.system
VAMP4	vesicle associated membrane protein 4	Vesicle associated membrane proteins	Auxiliary transport protein activity (GO:0015457)	undefined	TM	Golgi; endosome; lysosome	endolysosome.system
VAMP5	vesicle associated membrane protein 5	Vesicle associated membrane proteins	Auxiliary transport protein activity (GO:0015457)	undefined	TM	plasma membrane	plasma.membrane
VAMP7	vesicle associated membrane protein 7	Vesicle associated membrane proteins|Pseudoautosomal region 2	Transporter activity (GO:0005215)	undefined	TM	nucleus; endoplasmic reticulum; Golgi; plasma membrane; secretion; endosome; lysosome	endolysosome.system
VAMP8	vesicle associated membrane protein 8	Vesicle associated membrane proteins	Auxiliary transport protein activity (GO:0015457)	undefined	TM	cytosol; plasma membrane; secretion; endosome; lysosome	endolysosome.system
VANGL1	VANGL planar cell polarity protein 1	undefined	Protein binding (GO:0005515)	undefined	TM	undefined	undefined
VANGL2	VANGL planar cell polarity protein 2	undefined	Molecular function unknown (GO:0005554)	undefined	TM	plasma membrane	plasma.membrane
VAPA	VAMP associated protein A	undefined	Auxiliary transport protein activity (GO:0015457)	undefined	TM	nucleus; endoplasmic reticulum; plasma membrane	ER.Golgi
VAPB	VAMP (vesicle-associated membrane protein)-associated protein B and C	undefined	Auxiliary transport protein activity (GO:0015457)	undefined	TM	nucleus; endoplasmic reticulum; Golgi	ER.Golgi
VARS	valyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class I	Ligase activity (GO:0016874)	undefined	undefined	cytosol	undefined
VARS2	valyl-tRNA synthetase 2, mitochondrial	Aminoacyl tRNA synthetases, Class I	Ligase activity (GO:0016874)	undefined	undefined	undefined	undefined
VASH1	vasohibin 1	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	endoplasmic reticulum	ER.Golgi
VASH2	vasohibin 2	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
VASN	vasorin	undefined	Growth factor binding (GO:0019838)	undefined	LRR, EGF, FN3, TM	lysosome	endolysosome.system
VASP	vasodilator-stimulated phosphoprotein	ENAH/VASPs	Cytoskeletal protein binding (GO:0008092)	undefined	WH1	cytosol; cytoskeleton; actin; plasma membrane	cytoskeleton
VAT1	vesicle amine transport 1	undefined	Transporter activity (GO:0005215)	undefined	undefined	mitochondria	plasma.membrane
VAT1L	vesicle amine transport 1-like	undefined	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
VAV1	vav guanine nucleotide exchange factor 1	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing|SH2 domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	SH2-SH3 protein	CH, RHOGEF, PH, C1, SH3, SH2	cytosol; plasma membrane	plasma.membrane
VAV2	vav guanine nucleotide exchange factor 2	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing|SH2 domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	SH2-SH3 protein	RHOGEF, CH, PH, C1, SH3, SH2	cytosol	undefined
VAV3	vav guanine nucleotide exchange factor 3	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing|SH2 domain containing	Guanyl-nucleotide exchange factor activity (GO:0005085)	SH2-SH3 protein	RHOGEF, CH, PH, C1, SH3, SH2	cytosol	plasma.membrane
VAX1	ventral anterior homeobox 1	NKL subclass homeoboxes and pseudogenes	Transcription factor activity (GO:0003700)	transcription factor	HOX	undefined	undefined
VAX2	ventral anterior homeobox 2	NKL subclass homeoboxes and pseudogenes	Transcription regulator activity (GO:0030528)	transcription factor	HOX	undefined	undefined
VBP1	von Hippel-Lindau binding protein 1	Prefoldin subunits	Chaperone activity (GO:0003754)	undefined	undefined	nucleus	nucleus
VCAM1	vascular cell adhesion molecule 1	C2-set domain containing|I-set domain containing|CD molecules|Immunoglobulin-like domain containing|Endogenous ligands	Cell adhesion molecule activity (GO:0005194)	undefined	IGC2, Ig_LIKE, TM	cytoskeleton; actin; endoplasmic reticulum; Golgi; plasma membrane; endosome; adhesion	endolysosome.system
VCAN	versican	Sushi domain containing|Hyalectan proteoglycans|V-set domain containing	Extracellular matrix structural constituent (GO:0005201)	undefined	LINK, IG, EGFL, EGFCA, LECTIN_C, SUSHI, EGF	Golgi; lysosome	endolysosome.system
VCL	vinculin	undefined	Cytoskeletal protein binding (GO:0008092)	undefined	undefined	cytosol; cytoskeleton	cytoskeleton
VCP	valosin containing protein	AAA ATPases (ATPases associated with diverse cellular activities)	ATPase activity (GO:0016887)	undefined	AAA	nucleus; chromatin; cytosol; endoplasmic reticulum	ER.Golgi
VCPIP1	valosin containing protein (p97)/p47 complex interacting protein 1	OTU domain containing	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	undefined	undefined
VCPKMT	valosin containing protein lysine methyltransferase	Methyltransferase like	undefined	undefined	undefined	undefined	undefined
VCX	variable charge, X-linked	Variable charge X/Y family	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
VCX2	variable charge, X-linked 2	Variable charge X/Y family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
VCX3A	variable charge, X-linked 3A	Variable charge X/Y family	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
VCX3B	variable charge, X-linked 3B	Variable charge X/Y family	Molecular function unknown (GO:0005554)	undefined	undefined	nucleus; nucleolus	nucleus
VCY	variable charge, Y-linked	Variable charge X/Y family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
VCY1B	variable charge, Y-linked 1B	Variable charge X/Y family	Molecular function unknown (GO:0005554)	undefined	undefined	undefined	undefined
VDAC1	voltage dependent anion channel 1	Voltage-dependent anion channels	Voltage-gated ion channel activity (GO:0005244)	tyrosine phosphatase	undefined	nucleus; mitochondria	plasma.membrane
VDAC2	voltage dependent anion channel 2	Voltage-dependent anion channels	Voltage-gated ion channel activity (GO:0005244)	undefined	undefined	nucleus; mitochondria	plasma.membrane
VDAC3	voltage dependent anion channel 3	Voltage-dependent anion channels	Voltage-gated ion channel activity (GO:0005244)	undefined	undefined	nucleus; mitochondria	plasma.membrane
VDR	vitamin D (1,25- dihydroxyvitamin D3) receptor	Nuclear hormone receptors|Protein phosphatase 1 regulatory subunits	Transcription factor activity (GO:0003700)	transcription factor	ZnF_C4, HOLI	nucleus	nucleus
VEGFA	vascular endothelial growth factor A	undefined	Growth factor activity (GO:0008083)	undefined	PDGF	secretion	plasma.membrane
VEGFB	vascular endothelial growth factor B	undefined	Growth factor activity (GO:0008083)	undefined	PDGF	secretion	plasma.membrane
VEGFC	vascular endothelial growth factor C	undefined	Growth factor activity (GO:0008083)	undefined	PDGF	secretion	plasma.membrane
VENTX	VENT homeobox	NKL subclass homeoboxes and pseudogenes	Transcription factor activity (GO:0003700)	transcription factor	HOX	undefined	undefined
VENTXP1	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VENTXP2	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VENTXP3	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VENTXP4	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VENTXP5	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VENTXP6	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VENTXP7	undefined	undefined	undefined	undefined	undefined	undefined	undefined
VEPH1	ventricular zone expressed PH domain containing 1	Pleckstrin homology domain containing	Molecular function unknown (GO:0005554)	undefined	PH	undefined	undefined
VEZF1	vascular endothelial zinc finger 1	Zinc fingers, C2H2-type	Transcription factor activity (GO:0003700)	transcription factor	ZNFC2	nucleus	nucleus
VEZT	vezatin, adherens junctions transmembrane protein	undefined	Cell adhesion molecule activity (GO:0005194)	undefined	TM	nucleus	nucleus
VGF	VGF nerve growth factor inducible	Granins	Growth factor activity (GO:0008083)	undefined	undefined	undefined	plasma.membrane
VGLL1	vestigial like family member 1	Vestigial-like family	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	nucleus	nucleus
VGLL2	vestigial like family member 2	Vestigial-like family	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	undefined	undefined
VGLL3	vestigial like family member 3	Vestigial-like family	Molecular function unknown (GO:0005554)	transcription regulator	undefined	undefined	undefined
VGLL4	vestigial like family member 4	Vestigial-like family	Transcription regulator activity (GO:0030528)	transcription regulator	undefined	undefined	undefined
VHL	von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	undefined	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	nucleus; cytosol; cytoskeleton; filament; endoplasmic reticulum	cytoskeleton
VHLL	von Hippel-Lindau tumor suppressor-like	undefined	Ubiquitin-specific protease activity (GO:0004843)	undefined	undefined	undefined	undefined
VIL1	villin 1	Gelsolin/villins	Cytoskeletal protein binding (GO:0008092)	undefined	GEL, VHP	cytoskeleton; actin	cytoskeleton
VILL	villin-like	Gelsolin/villins	Structural molecule activity (GO:0005198)	undefined	GEL, VHP	cytoskeleton; actin	cytoskeleton
